2025-10-02 21:26:28.198 [main] INFO  com.satan.life.analytics.AnalyticsApplication - The following 1 profile is active: "dev"
2025-10-02 21:36:12.776 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2025-10-02 21:36:12.776 [Thread-7] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2025-10-02 21:36:12.777 [Thread-7] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2025-10-02 21:36:12.777 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2025-10-02 21:36:12.805 [SpringApplicationShutdownHook] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registering from Nacos Server now...
2025-10-02 21:36:12.809 [SpringApplicationShutdownHook] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registration finished.
2025-10-02 21:36:26.176 [main] INFO  com.satan.life.analytics.AnalyticsApplication - The following 1 profile is active: "dev"
2025-10-02 21:36:26.639 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-10-02 21:36:26.642 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-10-02 21:36:26.664 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
2025-10-02 21:36:26.843 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=1de7a185-a7aa-38f7-bafe-8ca3890b9149
2025-10-02 21:36:27.230 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
2025-10-02 21:36:27.231 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.23] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.38]
2025-10-02 21:36:27.231 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.23] using APR version [1.7.0].
2025-10-02 21:36:27.231 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false].
2025-10-02 21:36:27.231 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2025-10-02 21:36:27.234 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1c  28 May 2019]
2025-10-02 21:36:27.242 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-10-02 21:36:27.242 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.79]
2025-10-02 21:36:27.335 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/analytics] - Initializing Spring embedded WebApplicationContext
2025-10-02 21:36:27.335 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1145 ms
2025-10-02 21:36:28.507 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: c103b313-9d7c-438e-ba0e-828ae9e85ad1

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2025-10-02 21:36:28.616 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4a29a1e6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@57ac2910, org.springframework.security.web.context.SecurityContextPersistenceFilter@3c9c91e3, org.springframework.security.web.header.HeaderWriterFilter@3a66d97e, org.springframework.security.web.csrf.CsrfFilter@58932d08, org.springframework.security.web.authentication.logout.LogoutFilter@52d181ed, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@72ce8a9b, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@728535c6, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@3a663a45, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@3355d9ba, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2f2d8770, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@742dbac8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@e296794, org.springframework.security.web.session.SessionManagementFilter@d28a235, org.springframework.security.web.access.ExceptionTranslationFilter@448a6d00, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2b66bf1c]
2025-10-02 21:36:28.775 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path '/analytics'
2025-10-02 21:36:28.788 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2025-10-02 21:36:28.788 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2025-10-02 21:36:28.913 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP satan-life-analytics 192.168.10.2:8083 register finished
2025-10-02 21:36:28.978 [main] INFO  com.satan.life.analytics.AnalyticsApplication - Started AnalyticsApplication in 4.662 seconds (JVM running for 5.229)
2025-10-02 21:36:28.990 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - [Nacos Config] Listening config: dataId=satan-life-analytics, group=DEFAULT_GROUP
2025-10-02 21:36:28.991 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - [Nacos Config] Listening config: dataId=satan-life-analytics-dev.yml, group=DEFAULT_GROUP
2025-10-02 21:36:28.992 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - [Nacos Config] Listening config: dataId=satan-life-analytics.yml, group=DEFAULT_GROUP
2025-10-02 22:13:19.791 [Thread-7] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2025-10-02 22:13:19.792 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2025-10-02 22:13:19.792 [Thread-7] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2025-10-02 22:13:19.813 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2025-10-02 22:13:19.896 [SpringApplicationShutdownHook] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registering from Nacos Server now...
2025-10-02 22:13:19.904 [SpringApplicationShutdownHook] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registration finished.
