2025-10-02 22:47:10.605 [main] INFO  com.satan.life.health.HealthApplication - The following 1 profile is active: "dev"
2025-10-02 22:47:14.440 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - [Nacos Config] Listening config: dataId=satan-life-health, group=DEFAULT_GROUP
2025-10-02 22:47:14.443 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - [Nacos Config] Listening config: dataId=satan-life-health.yml, group=DEFAULT_GROUP
2025-10-02 22:47:14.892 [RMI TCP Connection(2)-192.168.0.107] INFO  o.a.c.c.C.[Tomcat].[localhost].[/health] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-10-02 22:47:14.892 [RMI TCP Connection(2)-192.168.0.107] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-02 22:47:14.894 [RMI TCP Connection(2)-192.168.0.107] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-10-02 22:47:14.895 [RMI TCP Connection(3)-192.168.0.107] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-10-02 22:47:15.128 [RMI TCP Connection(3)-192.168.0.107] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-10-02 22:47:17.565 [Thread-7] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2025-10-02 22:47:17.565 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2025-10-02 22:47:17.566 [Thread-7] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2025-10-02 22:47:17.566 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2025-10-02 22:47:17.697 [SpringApplicationShutdownHook] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registering from Nacos Server now...
2025-10-02 22:47:17.702 [SpringApplicationShutdownHook] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registration finished.
2025-10-02 22:47:18.020 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-10-02 22:47:18.027 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
